,Event Date,# Shows,Headliner,Support,Venue,City,State,Country,Market,Currency,Promoter,Genre,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min,Ticket Price Max,Ticket Price Avg. USD,Month,Location,yt name,yt Channel ID,yt Title,yt Description,yt Published At,yt View Count,yt Subscriber Count,yt Video Count,sp artist_name,sp artist_genre,sp followers,sp popularity,name,sales,gaondigital_times,gaondigital_firsts,yawards_total,Total_Population_City,Total_Asian_Population_City,Asian_Percentage_City,County,Total_Population_County,Total_Asian_Population_County,Asian_Percentage_County,day_of_week,is_holiday,Total population_state,Asian alone population_state,Asian percentage_state
79,2023-05-16,1,Nmixx,,Kings Theatre,Brooklyn,New York,United States,New York,US DOLLAR,Live Nation,Asian Pop,"1,165",119803.0,"3,055",38%,59.50,149.50,102.84,5,Brooklyn_New York_United States,Nmixx,UCnUAyD4t2LkvW68YrDh7fDg,NMIXX,"NMIXX Official YouTube
",2021-07-12T03:58:53.536982Z,911419951.0,2540000.0,811.0,Nmixx,"['k-pop', 'k-pop girl group']",2677124.0,70.0,,,,,,8622467.0,1247994.0,14.473746,Kings,2736074.0,373680.0,13.657525344709242,1,False,20201249.0,1933127.0,9.569343954920807
82,2023-03-10,1,CIX,,Terminal 5,New York,New York,United States,New York,US DOLLAR,Sean Healy Presents,Asian Pop,681,64500.0,"2,359",29%,60.00,195.00,94.71,3,New York_New York_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,234190992.0,1040000.0,654.0,CIX,['k-pop'],614765.0,48.0,CIX,677897.0,0.0,0.0,0.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,4,False,20201249.0,1933127.0,9.569343954920807
83,2023-02-18,2,JJ Lin,,Barclays Center,Brooklyn,New York,United States,New York,US DOLLAR,IEM Group,Asian Pop,"12,444",3344031.0,"12,445",100%,98.00,398.00,268.72,2,Brooklyn_New York_United States,JJ Lin,UCd91HSXKhsIv8PIjNrDByHQ,JJ Lin林俊傑,"JJ林俊傑 官方 YouTube 頻道，立即訂閱就可隨時零時差追蹤最新的 JJ 影音資訊!

The Official JJ Lin YouTube Channel",2006-02-11T12:21:49Z,1294952540.0,1500000.0,409.0,JJ Lin,"['mandopop', 'singaporean mandopop', 'singaporean pop']",2964924.0,66.0,,,,,,8622467.0,1247994.0,14.473746,Kings,2736074.0,373680.0,13.657525344709242,5,False,20201249.0,1933127.0,9.569343954920807
84,2023-02-05,1,P1harmony,,Terminal 5,New York,New York,United States,New York,US DOLLAR,Sean Healy Presents,Asian Pop,"1,698",176060.0,"3,000",57%,60.00,250.00,103.69,2,New York_New York_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,122917524.0,1050000.0,1078.0,P1harmony,"['k-pop', 'k-pop boy group']",1106357.0,64.0,P1Harmony,948637.0,0.0,0.0,0.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,6,False,20201249.0,1933127.0,9.569343954920807
86,2022-11-13,1,ITZY,,Hulu Theater At Madison Square Garden,New York,New York,United States,New York,US DOLLAR,Live Nation,Asian Pop,"5,266",458866.5,"5,266",100%,59.50,159.50,87.14,11,New York_New York_United States,ITZY,UCDhM2k2Cua-JdobAh5moMFg,ITZY,"ITZY ""BORN TO BE""
https://ITZY.lnk.to/BORNTOBE

📌Release
2024.01.08 MON 6PM (KST) | 4AM (EST)

#ITZY #MIDZY 
#ITZYComeback
#ITZY_BORNTOBE
#ITZY_UNTOUCHABLE
",2019-01-14T08:52:03Z,2784964533.0,9110000.0,1528.0,ITZY,"['k-pop', 'k-pop girl group']",7092547.0,73.0,ITZY,5446850.0,179.0,0.0,6.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,6,False,20201249.0,1933127.0,9.569343954920807
87,2022-10-15,1,Enhypen,,Radio City Music Hall,New York,New York,United States,New York,US DOLLAR,"AEG Presents, HYBE",Asian Pop,"5,577",792693.0,"5,577",100%,69.00,249.00,142.14,10,New York_New York_United States,Enhypen,UCArLZtok93cO5R9RI4_Y5Jw,ENHYPEN,"#ENHYPEN Official Youtube
#ENHYPEN 공식 유튜브",2020-08-10T12:46:00.218737Z,1861216308.0,9600000.0,1225.0,Enhypen,"['anime', 'k-pop boy group']",8400532.0,79.0,Enhypen,9227768.0,1.0,0.0,13.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,5,False,20201249.0,1933127.0,9.569343954920807
90,2022-05-21,1,Monsta X,,Radio City Music Hall,New York,New York,United States,New York,US DOLLAR,MSG Entertainment,"Asian Pop, World","5,257",656759.2,"5,257",100%,70.50,199.50,124.93,5,New York_New York_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,5,False,20201249.0,1933127.0,9.569343954920807
91,2022-02-26,2,Twice,,UBS Arena,Belmont Park,New York,United States,New York,US DOLLAR,Live Nation,Asian Pop,"13,384",2022441.0,"13,384",100%,53.50,193.50,151.11,2,Belmont Park_New York_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,8622467.0,1247994.0,14.473746,Nassau,1395774.0,164201.0,11.764153795671792,5,False,20201249.0,1933127.0,9.569343954920807
92,2020-02-19,1,Monsta X,,The Paramount,Huntington,New York,United States,New York,US DOLLAR,(In-House Promotion),"Asian Pop, World","1,573",33260.25,"1,573",100%,20.00,0.00,21.14,2,Huntington_New York_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,19610.0,726.0,3.702192758796533,Suffolk,1525920.0,65779.0,4.31077644961728,2,False,20201249.0,1933127.0,9.569343954920807
93,2020-01-29,1,Stray Kids,,Hulu Theater At Madison Square Garden,New York,New York,United States,New York,US DOLLAR,Subkulture Entertainment,"Asian Pop, World","4,004",556734.0,"4,825",83%,69.00,199.00,139.04,1,New York_New York_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4777572477.0,16100000.0,1026.0,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",15053281.0,82.0,Stray Kids,21175461.0,12.0,0.0,17.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,2,False,20201249.0,1933127.0,9.569343954920807
95,2019-08-03,1,Monsta X,,Hulu Theater At Madison Square Garden,New York,New York,United States,New York,US DOLLAR,"AEG Presents, Goldenvoice","Asian Pop, World","5,058",648556.0,"5,058",100%,59.00,199.00,128.22,8,New York_New York_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,5,False,20201249.0,1933127.0,9.569343954920807
97,2019-01-29,1,Winner,,Hulu Theater At Madison Square Garden,New York,New York,United States,New York,US DOLLAR,Live Nation,Asian Pop,"2,824",370255.0,"5,387",52%,79.00,159.00,131.11,1,New York_New York_United States,Winner,UCayQxFAoFCvGariuQCtHRGQ,WINNER,"WINNER Official YouTube Channel
위너 공식 유튜브 채널입니다.

YOON, JINU, HOONY, MINO
강승윤, 김진우, 이승훈, 송민호",2013-12-10T02:42:56Z,1541136371.0,4060000.0,639.0,Winner,"['k-pop', 'k-pop boy group']",2449976.0,53.0,Winner,1032476.0,321.0,2.0,5.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,1,False,20201249.0,1933127.0,9.569343954920807
98,2018-12-09,1,Ssingssing,J. Hoard,Brooklyn Bowl,Brooklyn,New York,United States,New York,US DOLLAR,(In-House Promotion),Asian Pop,303,4545.0,600,51%,15.00,0.00,15.0,12,Brooklyn_New York_United States,Ssingssing,UC4rTPifSTCVIw-oTefvy4vw,Band SsingSsing,"Authentic Korean traditional vocals with rock band music, combined with an extravagant visual style and stage manners. 
Six musicians from diverse genres join creative forces in the eccentric band SsingSsing. The group welds two totally disparate elements: rock band music and the typical authentic, somewhat oscillating vocals from Korean folk songs, while also including elements from ballads, pop music and shamanic rituals. Featuring Heemoon Lee(Vocal, Younggyu Jang(bass guitar), Dahye Chu(Vocal), Seungtae Shin(vocal), Chulhee Lee(drum), Taewon Lee(Electric guitar/keyboard), SsingSsing creates a unique vibe while introducing elements of Korean traditional music, such as Gyeonggi Sori(folk songs from central province around Seoul), Seodo Sori(folk songs from northwestern provinces of North Korea), and Seoul Gut (Shamanic ritual from Seoul) in their works.",2016-06-22T08:55:45Z,50333.0,1310.0,1.0,Ssingssing,"['k-indie', 'korean minyo']",11677.0,7.0,,,,,,8622467.0,1247994.0,14.473746,Kings,2736074.0,373680.0,13.657525344709242,6,False,20201249.0,1933127.0,9.569343954920807
99,2018-07-11,1,Got7,,Barclays Center,Brooklyn,New York,United States,New York,US DOLLAR,Subkulture Entertainment,"Asian Pop, World","9,453",1180415.0,"9,972",95%,65.00,255.00,124.87,7,Brooklyn_New York_United States,Got7,UC8HEl74jL3bLLwfDP1OALxw,GOT7,GOT7 Official YouTube,2012-02-02T07:43:35Z,934828590.0,6210000.0,579.0,Got7,"['k-pop', 'k-pop boy group']",6543496.0,60.0,GOT7,4396999.0,46.0,0.0,17.0,8622467.0,1247994.0,14.473746,Kings,2736074.0,373680.0,13.657525344709242,2,False,20201249.0,1933127.0,9.569343954920807
100,2017-09-01,1,Taeyang,,Theater At Madison Square Garden,New York,New York,United States,New York,US DOLLAR,Kpopme Entertainment,"Asian Pop, World","3,509",539949.25,"5,322",66%,75.00,319.00,153.88,9,New York_New York_United States,Taeyang,UCDJnRpq0DnQhrwi1ruuQa7g,TAEYANG,"TAEYANG Official YouTube Channel
태양 공식 유튜브 채널입니다.",2009-08-21T01:19:45Z,329333380.0,1830000.0,70.0,Taeyang,"['k-pop', 'korean r&b']",1359080.0,63.0,TAEYANG,351478.0,155.0,1.0,11.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,4,False,20201249.0,1933127.0,9.569343954920807
101,2017-08-09,1,Ssingssing,,Joe's Pub,New York,New York,United States,New York,US DOLLAR,(In-House Promotion),Asian Pop,59,1180.0,120,49%,20.00,0.00,20.0,8,New York_New York_United States,Ssingssing,UC4rTPifSTCVIw-oTefvy4vw,Band SsingSsing,"Authentic Korean traditional vocals with rock band music, combined with an extravagant visual style and stage manners. 
Six musicians from diverse genres join creative forces in the eccentric band SsingSsing. The group welds two totally disparate elements: rock band music and the typical authentic, somewhat oscillating vocals from Korean folk songs, while also including elements from ballads, pop music and shamanic rituals. Featuring Heemoon Lee(Vocal, Younggyu Jang(bass guitar), Dahye Chu(Vocal), Seungtae Shin(vocal), Chulhee Lee(drum), Taewon Lee(Electric guitar/keyboard), SsingSsing creates a unique vibe while introducing elements of Korean traditional music, such as Gyeonggi Sori(folk songs from central province around Seoul), Seodo Sori(folk songs from northwestern provinces of North Korea), and Seoul Gut (Shamanic ritual from Seoul) in their works.",2016-06-22T08:55:45Z,50333.0,1310.0,1.0,Ssingssing,"['k-indie', 'korean minyo']",11677.0,7.0,,,,,,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,2,False,20201249.0,1933127.0,9.569343954920807
102,2017-07-27,1,G-Dragon,,Barclays Center,Brooklyn,New York,United States,New York,US DOLLAR,Live Nation,"Asian Pop, World","7,920",1332828.5,"10,606",75%,86.00,206.00,168.29,7,Brooklyn_New York_United States,G-Dragon,UCeU5qTuBiqTU5z-hyL6WITQ,OfficialGDRAGON,"G-DRAGON Official YouTube Channel
G-DRAGON 공식 유튜브 채널입니다.",2012-07-17T04:18:48Z,264949182.0,2510000.0,3.0,G-Dragon,"['k-pop', 'k-rap']",2846502.0,58.0,G-DRAGON,896306.0,210.0,3.0,16.0,8622467.0,1247994.0,14.473746,Kings,2736074.0,373680.0,13.657525344709242,3,False,20201249.0,1933127.0,9.569343954920807
103,2017-07-14,1,Monsta X,,PlayStation Theater,New York,New York,United States,New York,US DOLLAR,"AEG Presents, The Bowery Presents","Asian Pop, World","2,124",226298.0,"2,150",99%,50.00,195.00,106.54,7,New York_New York_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,4,False,20201249.0,1933127.0,9.569343954920807
105,2016-11-19,1,Momoiro Clover Z,,PlayStation Theater,New York,New York,United States,New York,US DOLLAR,AEG Presents,Asian Pop,"1,197",75053.0,"2,150",56%,32.50,150.00,62.7,11,New York_New York_United States,Momoiro Clover Z,UC6YNWTm6zuMFsjqd0PO3G-Q,Momoiro Clover Z Channel,"ももいろクローバーZ のオフィシャルYouTubeチャンネルです！
This is Momoiro Clover Z Official YouTube channel!

7th ALBUMアルバム『イドラ』
発売日：2024年5月8日（水）
特設サイト
URL：https://mcz-release.com/sound/idola/
",2014-04-08T08:03:55Z,306182843.0,628000.0,840.0,Momoiro Clover Z,"['denpa-kei', 'idol rock', 'j-idol', 'j-pop girl group']",209419.0,48.0,,,,,,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,5,False,20201249.0,1933127.0,9.569343954920807
106,2016-10-29,1,CL,,Hammerstein Ballroom,New York,New York,United States,New York,US DOLLAR,Live Nation,Asian Pop,"2,583",291708.0,"3,498",74%,95.00,150.00,112.93,10,New York_New York_United States,CL,UCuX8lXIexG8dRXFx54CVm2Q,CL Official Channel,"+CL+
",2019-11-21T01:13:35.854589Z,311334230.0,2080000.0,72.0,CL,['k-pop'],1180007.0,56.0,CL,12959.0,12.0,0.0,1.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,5,False,20201249.0,1933127.0,9.569343954920807
111,2014-04-13,1,B.A.P.,,PlayStation Theater,New York,New York,United States,New York,US DOLLAR,"AEG Presents, CJ E&M, CJ E&M America, Powerhouse Live","Asian Pop, Pop / Rock","2,150",202105.0,"2,150",100%,51.50,136.50,94.0,4,New York_New York_United States,B.A.P.,UCjNqz4xqatELyN_UaEUjBrQ,BAP!,"IP: mc.bapserveris.lt
Versija: 1.20 - 1.20.2

BAP - nugalėk kitus ir tapk geriausiu!


Tai yra oficialus BAP kanalas, kur rasite kaip daryti įvairius dalykus Minecraft serveryje.

Daugiau informacijos atrasite mūsų svetainėje ir Discorde:
https://bapserveris.lt/
https://www.discord.io/BAPP


Socialiniai tinklai:
TikTok: https://www.tiktok.com/@bapserveris77
Facebook: https://www.facebook.com/BAPSERVER

",2020-06-27T21:10:45.37742Z,344182.0,2950.0,181.0,B.A.P.,[],6.0,17.0,B.A.P,818075.0,59.0,0.0,4.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,6,False,20201249.0,1933127.0,9.569343954920807
112,2013-05-17,1,B.A.P.,,PlayStation Theater,New York,New York,United States,New York,US DOLLAR,AEG Presents,"Asian Pop, Pop / Rock","2,150",138750.0,"2,150",100%,40.00,115.00,64.53,5,New York_New York_United States,B.A.P.,UCjNqz4xqatELyN_UaEUjBrQ,BAP!,"IP: mc.bapserveris.lt
Versija: 1.20 - 1.20.2

BAP - nugalėk kitus ir tapk geriausiu!


Tai yra oficialus BAP kanalas, kur rasite kaip daryti įvairius dalykus Minecraft serveryje.

Daugiau informacijos atrasite mūsų svetainėje ir Discorde:
https://bapserveris.lt/
https://www.discord.io/BAPP


Socialiniai tinklai:
TikTok: https://www.tiktok.com/@bapserveris77
Facebook: https://www.facebook.com/BAPSERVER

",2020-06-27T21:10:45.37742Z,344182.0,2950.0,181.0,B.A.P.,[],6.0,17.0,B.A.P,818075.0,59.0,0.0,4.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,4,False,20201249.0,1933127.0,9.569343954920807
114,2006-02-02,2,Rain,,Theater At Madison Square Garden,New York,New York,United States,New York,US DOLLAR,,Asian Pop,"4,837",342829.0,"5,348",90%,55.00,145.00,70.87,2,New York_New York_United States,Rain,UCH_sVF6GyDgFTwnvluHanbQ,Rain,"Rain Official Youtube Channel
(Channel is nonactived)

🇬🇧
Nice to meet you, I'm Elder Fiftz Rainiiez (nickname only). Call me Rain.

My content is
★ GBTI (GachaBloxTuber Indonesia)
★ Entertainment only
★ Rated age 10+

🇮🇩
Senang bertemu denganmu, saya adalah Elder Fiftz Rainiiez (nama samaran saja). Panggil saya Rain.

Konten saya, yakni
★ GBTI (GachaBloxTuber Indonesia)
★ Hiburan saja
★ Dinilai untuk usia 10+

Enjoy watching ╰⁠(⁠ ⁠･⁠ ⁠ᗜ⁠ ⁠･⁠ ⁠)⁠➝",2021-07-21T03:24:12.159155Z,14273235.0,80100.0,237.0,Rain,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",1477480.0,59.0,Rain,1244351.0,150.0,6.0,11.0,8622467.0,1247994.0,14.473746318773967,Queens,2405464.0,660631.0,27.463765826468407,3,False,20201249.0,1933127.0,9.569343954920807
119,2022-08-28,1,SEVENTEEN,,Capital One Arena,Washington,District of Columbia,United States,Washington,US DOLLAR,"HYBE, Live Nation",Asian Pop,"11,341",1324159.5,"11,596",98%,59.50,179.50,116.76,8,Washington_District of Columbia_United States,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,"#SEVENTEEN Official Youtube
#세븐틴 공식 유튜브
",2012-11-16T08:20:35Z,5396738590.0,11000000.0,1959.0,SEVENTEEN,"['k-pop', 'k-pop boy group']",11191473.0,79.0,Seventeen,33378003.0,290.0,1.0,48.0,670587.0,27067.0,4.036314452859957,District of Columbia,689545.0,33545.0,4.864802152143805,6,False,689545.0,33545.0,4.864802152143805
125,2023-03-14,1,CIX,,Theater At MGM National Harbor,Oxon Hill,Maryland,United States,Washington,US DOLLAR,Live Nation,Asian Pop,"1,781",99731.0,"1,781",100%,59.00,129.00,56.0,3,Oxon Hill_Maryland_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,234190992.0,1040000.0,654.0,CIX,['k-pop'],614765.0,48.0,CIX,677897.0,0.0,0.0,0.0,18526.0,674.0,3.638130195401058,Prince George's,967201.0,41875.0,4.32950338140676,1,False,6177224.0,420944.0,6.8144525761086205
126,2023-02-08,1,P1harmony,,Theater At MGM National Harbor,Oxon Hill,Maryland,United States,Washington,US DOLLAR,"Live Nation, MGM Resorts International",Asian Pop,"2,836",328488.0,"2,836",100%,69.00,179.00,115.83,2,Oxon Hill_Maryland_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,122917524.0,1050000.0,1078.0,P1harmony,"['k-pop', 'k-pop boy group']",1106357.0,64.0,P1Harmony,948637.0,0.0,0.0,0.0,18526.0,674.0,3.638130195401058,Prince George's,967201.0,41875.0,4.32950338140676,2,False,6177224.0,420944.0,6.8144525761086205
129,2023-09-14,1,"BABYMETAL, Metalocalypse: Dethklok",Jason Richardson,MGM Music Hall at Fenway,Boston,Massachusetts,United States,Boston,US DOLLAR,"Crossroads Presents, Live Nation","Asian Pop, Pop / Rock","4,960",264260.0,"5,105",97%,20.00,76.50,53.28,9,Boston_Massachusetts_United States,"BABYMETAL, Metalocalypse: Dethklok",UCsuErkHQ1ix25ZoBwqGyjHQ,Metalocalypse: Dethklok - Topic,,2013-09-14T06:11:31Z,93386865.0,64300.0,139.0,"BABYMETAL, Metalocalypse: Dethklok",['comic metal'],18009.0,21.0,,,,,,665945.0,64387.0,9.668516168752674,Suffolk,797936.0,81140.0,10.1687353371699,3,False,7029917.0,507934.0,7.225320014446828
130,2022-11-10,1,ITZY,,MGM Music Hall at Fenway,Boston,Massachusetts,United States,Boston,US DOLLAR,"(In-House Promotion), Crossroads Presents",Asian Pop,"4,052",406148.0,"4,052",100%,59.50,159.50,100.23,11,Boston_Massachusetts_United States,ITZY,UCDhM2k2Cua-JdobAh5moMFg,ITZY,"ITZY ""BORN TO BE""
https://ITZY.lnk.to/BORNTOBE

📌Release
2024.01.08 MON 6PM (KST) | 4AM (EST)

#ITZY #MIDZY 
#ITZYComeback
#ITZY_BORNTOBE
#ITZY_UNTOUCHABLE
",2019-01-14T08:52:03Z,2784964533.0,9110000.0,1528.0,ITZY,"['k-pop', 'k-pop girl group']",7092547.0,73.0,ITZY,5446850.0,179.0,0.0,6.0,665945.0,64387.0,9.668516168752674,Suffolk,797936.0,81140.0,10.1687353371699,3,False,7029917.0,507934.0,7.225320014446828
140,2023-11-04,1,xikers,,Warfield Theatre,San Francisco,California,United States,San Francisco-Oakland-San Jose,US DOLLAR,Sean Healy Presents,Asian Pop,"1,261",152175.02,"1,780",71%,50.00,175.00,120.68,11,San Francisco_California_United States,xikers,UCPtC0MXSW40Qq7RkhsCXjUQ,xikers,"xikers(싸이커스) Official YouTube Channel
",2022-11-15T14:21:56.347452Z,42722565.0,405000.0,1030.0,xikers,['k-pop boy group'],355657.0,55.0,,,,,,851036.0,296122.0,34.79547281196096,San Francisco,873965.0,296505.0,33.92641581756706,5,False,39538223.0,6085947.0,15.392565821686018
143,2023-10-11,2,"BABYMETAL, Metalocalypse: Dethklok",Jason Richardson,YouTube Theater,Inglewood,California,United States,Los Angeles,US DOLLAR,Live Nation,"Asian Pop, Pop / Rock","5,624",482291.0,"5,625",100%,49.50,99.50,85.75,10,Inglewood_California_United States,"BABYMETAL, Metalocalypse: Dethklok",UCsuErkHQ1ix25ZoBwqGyjHQ,Metalocalypse: Dethklok - Topic,,2013-09-14T06:11:31Z,93386865.0,64300.0,139.0,"BABYMETAL, Metalocalypse: Dethklok",['comic metal'],18009.0,21.0,,,,,,106806.0,2894.0,2.7095856038050297,Los Angeles,10014009.0,1499984.0,14.978856120460843,2,False,39538223.0,6085947.0,15.392565821686018
146,2023-06-13,2,Twice,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,US DOLLAR,Live Nation,Asian Pop,"11,851",1971519.0,"11,851",100%,56.67,218.57,166.35,6,Oakland_California_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,437825.0,69491.0,15.871866613372925,Alameda,1682353.0,545261.0,32.4106177478805,1,False,39538223.0,6085947.0,15.392565821686018
147,2023-06-10,1,Twice,,SoFi Stadium,Inglewood,California,United States,Los Angeles,US DOLLAR,Live Nation,Asian Pop,"48,345",7966286.0,"48,345",100%,53.50,223.50,164.78,6,Inglewood_California_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,106806.0,2894.0,2.7095856038050297,Los Angeles,10014009.0,1499984.0,14.978856120460843,5,False,39538223.0,6085947.0,15.392565821686018
152,2023-04-18,1,Radwimps,,YouTube Theater,Inglewood,California,United States,Los Angeles,US DOLLAR,Live Nation,Asian Pop,"5,784",374072.5,"5,784",100%,29.50,95.00,64.67,4,Inglewood_California_United States,Radwimps,UCIVqvhyo8ttjYOmMJuhq_YQ,RADWIMPS,"Vocal / Guitar / Piano
野田洋次郎　Yojiro Noda
Guitar
桑原彰　Akira Kuwahara
Bass
武田祐介　Yusuke Takeda
Drum
山口智史　Satoshi Yamaguchi
",2009-03-17T09:39:28Z,2231417324.0,2910000.0,403.0,Radwimps,"['j-pop', 'j-rock', 'visual kei']",3867699.0,73.0,,,,,,106806.0,2894.0,2.7095856038050297,Los Angeles,10014009.0,1499984.0,14.978856120460843,1,False,39538223.0,6085947.0,15.392565821686018
153,2023-04-16,1,Radwimps,,San Jose Civic,San Jose,California,United States,San Francisco-Oakland-San Jose,US DOLLAR,Nederlander Concerts,Asian Pop,"3,326",141499.0,"3,326",100%,40.00,90.00,42.54,4,San Jose_California_United States,Radwimps,UCIVqvhyo8ttjYOmMJuhq_YQ,RADWIMPS,"Vocal / Guitar / Piano
野田洋次郎　Yojiro Noda
Guitar
桑原彰　Akira Kuwahara
Bass
武田祐介　Yusuke Takeda
Drum
山口智史　Satoshi Yamaguchi
",2009-03-17T09:39:28Z,2231417324.0,2910000.0,403.0,Radwimps,"['j-pop', 'j-rock', 'visual kei']",3867699.0,73.0,,,,,,1001176.0,381796.0,38.13475352984889,Santa Clara,1936259.0,759030.0,39.20085071263711,6,False,39538223.0,6085947.0,15.392565821686018
154,2023-03-31,2,Stray Kids,,Banc Of California Stadium,Los Angeles,California,United States,Los Angeles,US DOLLAR,Live Nation,"Asian Pop, World","23,340",3397648.64,"23,340",100%,49.50,179.50,145.57,3,Los Angeles_California_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4777572477.0,16100000.0,1026.0,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",15053281.0,82.0,Stray Kids,21175461.0,12.0,0.0,17.0,3881041.0,458721.0,11.819535016507167,Los Angeles,10014009.0,1499984.0,14.978856120460843,4,False,39538223.0,6085947.0,15.392565821686018
155,2023-03-26,1,CIX,,Paramount Theatre,Oakland,California,United States,San Francisco-Oakland-San Jose,US DOLLAR,Sean Healy Presents,Asian Pop,930,113055.0,"2,992",31%,65.00,250.00,121.56,3,Oakland_California_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,234190992.0,1040000.0,654.0,CIX,['k-pop'],614765.0,48.0,CIX,677897.0,0.0,0.0,0.0,437825.0,69491.0,15.871866613372925,Alameda,1682353.0,545261.0,32.4106177478805,6,False,39538223.0,6085947.0,15.392565821686018
